City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Aguimes,ES,27.91,-15.45,75.0,83,91,8.05,overcast clouds
84,Vaini,TO,-21.2,-175.2,77.0,69,40,12.75,scattered clouds
85,Tiksi,RU,71.69,128.87,14.38,92,100,23.53,overcast clouds
86,Olafsvik,IS,64.89,-23.71,38.52,75,71,5.3,broken clouds
87,Salalah,OM,17.02,54.09,80.92,30,5,4.97,clear sky
88,Mantua,IT,45.17,10.78,48.99,100,71,3.36,mist
89,Pochutla,MX,15.74,-96.47,80.01,83,65,4.7,broken clouds
90,Clyde River,CA,70.47,-68.59,32.0,91,1,18.34,clear sky
91,Saint-Augustin,CA,51.23,-58.65,43.09,81,92,8.37,overcast clouds
92,San Juan,AR,-31.54,-68.54,62.94,29,0,10.78,clear sky
93,Tashtyp,RU,52.79,89.9,34.09,81,100,3.62,overcast clouds
94,Bethel,US,41.37,-73.41,55.4,93,1,8.05,clear sky
95,Belyy Yar,RU,53.6,91.39,33.8,80,100,11.18,overcast clouds
96,Kamina,CD,-8.74,24.99,64.65,92,0,4.12,clear sky
97,Pisco,PE,-13.7,-76.22,64.4,72,0,14.99,clear sky
98,San Cristobal,VE,7.77,-72.22,84.2,58,40,4.7,scattered clouds
99,Tsabong,BW,-26.02,22.4,70.0,21,0,11.88,clear sky
100,Lisala,CD,2.15,21.52,70.29,99,100,3.69,moderate rain
101,Zhigansk,RU,66.77,123.37,18.73,96,100,13.02,overcast clouds
102,Mahebourg,MU,-20.41,57.7,73.4,78,20,8.05,few clouds
103,Kodiak,US,57.79,-152.41,48.2,45,1,14.99,clear sky
104,Bredasdorp,ZA,-34.53,20.04,57.2,76,65,11.41,broken clouds
105,Port Elizabeth,ZA,-33.92,25.57,59.0,82,75,21.92,broken clouds
106,Port Alfred,ZA,-33.59,26.89,61.99,78,2,21.27,clear sky
107,Dakar,SN,14.69,-17.44,78.8,94,32,4.45,scattered clouds
108,Sao Miguel,BR,-5.47,-35.37,77.0,83,40,3.36,scattered clouds
109,Cay,TR,38.59,31.03,55.72,79,100,4.18,overcast clouds
110,Qaanaaq,GL,77.48,-69.36,28.96,88,52,5.57,broken clouds
111,Claresholm,CA,50.03,-113.59,42.8,70,96,24.16,overcast clouds
112,Benguela,AO,-12.58,13.41,73.08,80,1,3.87,clear sky
113,Shreveport,US,32.53,-93.75,80.6,78,40,9.17,scattered clouds
114,Tuktoyaktuk,CA,69.45,-133.04,23.0,85,90,13.87,light snow
115,Faanui,PF,-16.48,-151.75,79.07,79,21,19.06,light rain
116,Pangnirtung,CA,66.15,-65.71,22.82,92,91,5.5,overcast clouds
117,Sirjan,IR,29.45,55.68,42.94,42,0,4.63,clear sky
118,Sauda,NO,59.65,6.35,45.0,95,100,3.0,light rain
119,Avarua,CK,-21.21,-159.78,80.6,74,28,4.7,scattered clouds
120,Montepuez,MZ,-13.13,39.0,67.68,94,29,3.22,scattered clouds
121,Kasur,PK,31.12,74.45,64.4,77,0,2.8,mist
122,Foam Lake,CA,51.65,-103.53,22.37,79,53,6.44,broken clouds
123,Cabo Rojo,PR,18.09,-67.15,78.01,90,100,6.69,overcast clouds
124,Christchurch,NZ,-43.53,172.63,60.01,54,14,21.92,few clouds
125,Port Augusta,AU,-32.5,137.77,73.99,53,86,5.82,overcast clouds
126,Aberdeen,GB,57.14,-2.1,51.01,93,90,11.41,moderate rain
127,Leningradskiy,RU,69.38,178.42,26.82,91,48,6.6,scattered clouds
128,Kropotkin,RU,45.44,40.58,51.01,90,21,5.66,few clouds
129,Shieli,KZ,44.17,66.75,48.92,49,0,8.72,clear sky
130,Beloha,MG,-25.17,45.05,62.71,84,0,3.09,clear sky
131,Alexandria,EG,31.22,29.96,77.0,53,0,6.93,clear sky
132,Goderich,CA,43.75,-81.72,48.0,90,100,11.99,overcast clouds
133,Castro,BR,-24.79,-50.01,62.17,97,36,8.28,scattered clouds
134,Ancud,CL,-41.87,-73.82,45.0,86,40,5.82,scattered clouds
135,Kavaratti,IN,10.57,72.64,81.07,74,56,10.47,broken clouds
136,Isangel,VU,-19.55,169.27,82.4,61,75,11.41,broken clouds
137,Ilulissat,GL,69.22,-51.1,37.4,92,100,4.7,drizzle
138,Zhuanghe,CN,39.7,122.99,65.59,51,0,6.93,clear sky
139,Amahai,ID,-3.33,128.92,83.12,69,82,3.47,broken clouds
140,Qasigiannguit,GL,68.82,-51.19,37.4,83,100,4.7,drizzle
141,Barbuletu,RO,45.13,25.3,39.0,81,0,1.01,clear sky
142,Kenai,US,60.55,-151.26,42.01,69,90,4.7,overcast clouds
143,Vardo,NO,70.37,31.11,40.05,74,100,17.09,overcast clouds
144,Shubarkuduk,KZ,49.14,56.49,48.61,48,94,11.25,overcast clouds
145,Aleksandrovka,UA,46.84,32.76,41.0,93,0,4.47,clear sky
146,Alcudia,ES,39.85,3.12,61.0,82,2,6.93,clear sky
147,Mar Del Plata,AR,-38.0,-57.56,54.0,62,5,16.11,clear sky
148,San Patricio,US,28.02,-97.52,80.6,83,75,12.75,broken clouds
149,Uvinza,TZ,-5.1,30.39,68.2,66,38,1.34,scattered clouds
150,Beira,MZ,-19.84,34.84,67.87,94,7,4.97,clear sky
151,New Norfolk,AU,-42.78,147.06,66.0,60,68,1.01,broken clouds
152,Sudak,UA,44.85,34.97,51.64,60,1,7.45,clear sky
153,Shakhovskaya,RU,56.03,35.51,34.38,90,95,13.65,overcast clouds
154,Mashhad,IR,36.3,59.61,44.6,45,0,3.69,clear sky
155,Atuona,PF,-9.8,-139.03,78.69,73,1,18.39,clear sky
156,Severo-Kurilsk,RU,50.68,156.12,42.03,65,80,13.2,broken clouds
157,Eyemouth,GB,55.87,-2.09,48.0,95,100,14.18,light rain
158,Kapaa,US,22.08,-159.32,84.2,70,40,12.75,scattered clouds
159,Hearst,CA,49.68,-83.67,26.38,97,34,3.42,scattered clouds
160,Herat,AF,34.5,62.0,43.03,60,0,4.29,clear sky
161,Nyrob,RU,60.73,56.72,31.44,99,97,4.32,overcast clouds
162,Maceio,BR,-9.67,-35.74,71.6,94,20,4.7,few clouds
163,Novyy Urengoy,RU,66.08,76.63,24.69,98,99,5.82,light snow
164,Ornskoldsvik,SE,63.29,18.72,28.4,92,100,8.05,overcast clouds
165,Bambous Virieux,MU,-20.34,57.76,73.4,78,20,8.05,few clouds
166,Sungairaya,ID,0.7,108.9,88.86,58,43,1.72,scattered clouds
167,Ola,RU,59.58,151.28,31.01,91,82,7.7,broken clouds
168,Gilbues,BR,-9.83,-45.34,78.57,44,3,3.56,clear sky
169,Zile,TR,40.3,35.89,55.4,82,75,13.87,broken clouds
170,Hailar,CN,49.2,119.7,47.89,48,100,17.45,overcast clouds
171,Hobart,AU,-42.88,147.33,66.0,58,40,10.29,scattered clouds
172,Carnarvon,AU,-24.87,113.63,71.6,64,40,16.11,scattered clouds
173,Hamilton,US,39.18,-84.53,55.4,93,90,2.06,moderate rain
174,Itoman,JP,26.12,127.67,84.2,70,40,20.8,scattered clouds
175,Komsomolskiy,UZ,40.43,71.72,48.2,57,0,6.93,clear sky
176,Dingle,PH,11.0,122.67,78.94,87,100,3.8,moderate rain
177,Lamu,KE,-2.27,40.9,77.0,88,90,12.55,overcast clouds
