City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
205,Nabire,ID,75.36,light rain,-3.37,135.48,Hotel Nusantara Nabire
206,Batticaloa,LK,76.55,broken clouds,7.71,81.69,Grand Star Guest House
207,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
209,Arumbavur,IN,78.8,few clouds,11.38,78.73,Aadhavan carriers
212,Pangkalanbuun,ID,73.81,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
217,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
218,Buala,SB,84.15,few clouds,-8.14,159.59,Maringe Lagoon Lodge
220,Marawi,PH,73.99,overcast clouds,8.0,124.29,Derogongan Residence
224,Saint George,US,75.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
227,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
230,Kirakira,SB,84.76,scattered clouds,-10.45,161.92,SanBiz Lodge
231,Cayenne,GF,84.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
235,Kodar,IN,72.64,scattered clouds,16.98,79.97,Hotel Athidhi Grand
237,Bambous Virieux,MU,73.4,few clouds,-20.34,57.76,Casa Tia Villa
238,Grand Gaube,MU,73.4,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
241,Abnub,EG,78.8,clear sky,27.27,31.15,مسجد الخطبة
250,Poum,NC,77.92,clear sky,-20.23,164.02,Gîte kajeon
252,Candiis,PH,78.89,overcast clouds,8.97,125.18,La isla bounetta
254,Dalby,AU,70.0,overcast clouds,-27.18,151.27,Kobbers Motor Inn Dalby
255,Juba,SS,72.9,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
257,Chirongui,YT,78.8,clear sky,-12.93,45.15,La Villa Mahatsara
258,Keningau,MY,73.4,scattered clouds,5.34,116.16,Sabindo Hotel
261,Dutse,NG,78.94,scattered clouds,11.76,9.34,Kaci
263,Tual,ID,81.91,few clouds,-5.67,132.75,Grand Vilia Hotel
264,Beira,MZ,73.4,clear sky,-19.84,34.84,Beira Terrace Hotel
265,Ambilobe,MG,70.7,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
266,Kavieng,PG,83.86,scattered clouds,-2.57,150.8,Nusa Island Retreat
267,Kollam,IN,78.8,mist,8.88,76.6,The Raviz Ashtamudi
269,Marsabit,KE,73.74,overcast clouds,2.33,37.99,Chicho Hotel
270,Bengkulu,ID,75.33,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
273,Salta,AR,84.2,scattered clouds,-24.79,-65.41,Hotel Alejandro I
275,Guiratinga,BR,74.82,light rain,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
278,Progreso,MX,86.0,broken clouds,21.28,-89.67,Playa Linda Hotel
280,Lazaro Cardenas,MX,84.52,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
283,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
284,Narasannapeta,IN,75.22,broken clouds,18.42,84.05,G.lingaraju home
